year,m2_yoy,policy_rate,jgb10y
1970,3.9679552274165415,9.274247942803184,
1971,4.519587777254416,7.166464319438823,
1972,6.188846339308676,6.32335087009308,
1973,5.233766900047322,14.332928638877647,
1974,2.2452121854738554,14.332928638877647,
1975,2.54515925664386,10.117361392148927,
1976,3.1019314118601344,10.117361392148927,
1977,2.0928474634938654,6.32335087009308,
1978,2.1830123229813596,5.058680696074464,
1979,2.220358250759444,9.695804667476056,
1980,1.5018643431857708,11.382031566167543,
1981,1.4145528480107956,8.431134493457439,
1982,1.501686284859349,8.431134493457439,
1983,0.9961631567135923,7.588021044111695,
1984,1.117228313315491,7.588021044111695,
1985,1.2707875354311555,7.588021044111695,
1986,1.3486489132141641,4.215567246728719,3.1339095581076757
1987,1.8101494106946263,3.372453797382976,2.7066661444802724
1988,2.040355816345164,3.372453797382976,2.538142353549463
1989,1.6866656243407645,6.32335087009308,3.3332898178004635
1990,2.1687508887191114,9.274247942803184,4.12685489903803
1991,-0.004335232074829753,6.744907594765952,3.3008509660250507
1992,-0.8378374509774554,4.637123971401592,2.822180104461015
1993,-0.7101049596238324,2.1077836233643596,1.5902949285020014
1994,-0.443974170988371,2.1077836233643596,2.493835629173288
1995,-0.17900572302618997,0.0,1.394079434836083
1996,-0.11655853053936734,0.0,1.087888321736444
1997,-0.1704187355654115,0.0,0.42012269006694664
1998,0.18414570028746402,0.0,0.5649107357962334
1999,-0.0012278847777131628,0.0,0.21916004736072353
2000,-0.42882924944991613,0.0,0.19542430215920112
2001,-0.24665588442005115,-0.6744907594765952,-0.026900511228392092
2002,-0.10359523658759442,-0.6744907594765952,-0.39322217883855465
2003,-0.6388765593293582,-0.6744907594765952,-0.03164766026869658
2004,-0.5257746718502294,-0.6744907594765952,0.026900511228392092
2005,-0.5094009342182665,-0.6744907594765952,0.05538340547021901
2006,-0.7263840986258774,-0.16862268986914875,0.2175776643472887
2007,-0.5739096895155555,0.421556724672872,0.07832795916502394
2008,-0.43547496675027575,-0.3372453797382976,-0.1788092805181355
2009,-0.2676775642219699,-0.3372453797382976,-0.09019583176578524
2010,-0.24908520143354004,-0.3372453797382976,-0.21836885585400623
2011,-0.2578096504696231,-0.3372453797382976,-0.32913566679444417
2012,-0.3210613606392994,-0.3372453797382976,-0.481835627590905
2013,-0.023306571677129018,-0.3372453797382976,-0.527724734980515
2014,-0.0746770735579141,-0.3372453797382976,-0.8529044442413721
2015,0.0012278847777132831,-0.3372453797382976,-0.8987935516309822
2016,-0.057674620436003535,-0.3372453797382976,-1.0760204491356828
2017,0.12485935525225367,-0.3372453797382976,-1.0728556831088132
2018,,-0.3372453797382976,-1.0997561943372052
2019,,-0.3372453797382976,-1.1219095565252926
2020,,-0.3372453797382976,-1.0823499811894222
2021,,-0.3372453797382976,-1.0396256398266817
2022,,-0.3372453797382976,-0.7508407398748257
2023,,-0.3372453797382976,-0.5981407790783648
2024,,0.0,-0.23102791996148483
2025,,0.843113449345744,0.5245599689536452
