year,real_gdp_yoy,iip_yoy,investment_gdp
1970,3.707201657261364,1.22097130431498,2.2710671435835534
1971,1.1366180581117271,-0.4138839270136208,1.735407070255266
1972,2.8920069245712856,2.501031343663149,1.6811892352876232
1973,2.725886879066181,1.5208100474564221,2.645801086328425
1974,-1.3122678839891981,-3.9539909075047617,1.963560013601863
1975,0.5706141681132886,-0.5796041014830876,0.9737555987598522
1976,0.9560038369820327,1.9614869921901854,0.4353976646353875
1977,1.1371565471914011,0.05460687074342473,0.0
1978,1.5217350486780765,1.1161364402721077,0.10393108823632739
1979,1.6141655942081932,0.9551369214617189,0.6428882997642544
1980,0.45114492023243596,-0.31995858482502754,0.5986037463607593
1981,0.6050158273521764,0.20422141613118422,0.18253960817415102
1982,0.5557112909424881,-1.0525502084562997,-0.2943824491878242
1983,0.2350036335324059,1.3078408074013286,-0.9188771067801854
1984,0.9308492715821689,0.9342096320650776,-1.0440093119323373
1985,1.1431538240398935,-0.2053050222271349,-1.1390828560398394
1986,0.48508621997341655,-0.4099032796968944,-1.2241959159782014
1987,1.036178291387125,1.101243216469675,-0.7687483539776621
1988,1.9242706645449232,1.0426248745399154,-0.21919211296967886
1989,1.3295448067997733,0.23240049198131874,0.1738326706445843
1990,1.4396283007928254,0.5852906935824427,0.6685000532437106
1991,0.8786697045310156,-0.9807738358686675,0.5353930473295898
1992,-0.3320637562900455,-2.1100147400424563,0.13248444663902914
1993,-0.6419399505013538,-1.0210352787305548,-0.26238768269963547
1994,-0.4966389642204832,0.9204687862802579,-0.6422574477853228
1995,-0.13621698628303494,-0.11356420935238366,-0.7138294813740171
1996,1.4249005828239392,0.15078132844360642,-0.29400030399367244
1997,-0.08250678237323768,-0.9601437703596863,-0.6744907594765952
1998,-1.8721651521285834,-1.8777970638731605,-1.4266668028754432
1999,-0.689369591895637,0.49756800853100586,-1.734787567346206
2000,-0.3784326964023383,0.6467788084994692,-1.9316348177255898
2001,-0.6596119270575533,-3.4549879836646284,
2002,-0.7550326713970172,0.633358946600055,
2003,-0.1598876972879096,0.38865774075673754,
2004,0.1390033571436214,-0.23598746598017256,
2005,0.02701532756216412,0.4037336724326736,
2006,-0.1147307926189579,0.4229784566893634,
2007,-0.027015327562164217,-0.026945345358107334,
2008,-1.2834708091855478,-5.270025459657798,
2009,-3.3669439769097798,0.6410769975969327,
2010,1.0245931844669147,0.5971336420985065,
2011,-0.8584410334893323,-0.2678005016322953,
2012,-0.05522848875281975,-1.8619878226408613,
2013,0.10427805195798646,0.4465396852350941,
2014,-0.42125275156616343,-0.8761203696819193,
2015,0.02910058194919695,-0.9789176601398425,
2016,-0.4859122844105877,0.2031255927680098,
2017,-0.06866203617378511,0.3090856676007204,
2018,-0.4050623348779778,-0.742599954650019,
2019,-0.9137589866970249,-1.8037910963224104,
2020,-2.667636844727033,-1.178526989786417,
2021,0.8238905132602553,0.026945345358107334,
2022,-0.25345093546868097,-0.5858366176392028,
2023,-0.3896781320281575,-0.5615519341776101,
2024,-0.7439419919992951,-1.3032655740040218,
2025,-0.26658074404398696,-0.7022027104537212,
