year,export_yoy,trade_balance_gdp,reer_level,fx_usdjpy_level
1970,1.541619176937147,-0.44122825409536504,,7.966335542691301
1971,1.5293743409546487,-0.2818956683472077,,7.650273361748299
1972,0.016131005133010242,-0.2705639380608023,,6.2455700299992225
1973,0.879427375856265,-0.5049382865738385,,4.992982407948335
1974,5.455594516202477,-0.6846923072217803,,5.6893560703639885
1975,-0.25682986282207243,-0.5352004966923843,,5.861919200673032
1976,1.5103193248535751,-0.37532733730273554,,5.8522176002649715
1977,0.3686216961578011,-0.15768120838353836,,4.889529525053123
1978,-0.9412272340934689,0.0,,2.8982800276507543
1979,0.46618406237137905,-0.6660999910946378,,3.1987997673555366
1980,2.4629791558535405,-0.7741563218845773,,3.4560831067358193
1981,0.8787659468722917,-0.21915294939206506,,3.2466469859251226
1982,-0.18030589224640217,-0.2466333845837118,,4.223950039100536
1983,-0.3237849952238602,0.12815543445771385,,3.825964365350388
1984,1.0330374848009585,0.5019101750352879,,3.828587982229554
1985,-0.06851381569603066,0.8464435277349416,,3.8652843025933796
1986,-1.9823924376516775,1.1911830494536313,,1.4600499153516058
1987,-0.9940203878070996,0.9314849513781892,,0.6401481146581581
1988,-0.27689129014033403,0.7337214155442564,,0.07447260873334258
1989,0.6419780956203028,0.6028456739379665,,0.4120654284174307
1990,0.46596586592210737,0.4535412507166271,,0.6461023476244088
1991,-0.24759834971639036,0.7970469990214007,,0.2927399144345951
1992,-0.30885655360986225,1.1606384325500205,,0.024325546584087136
1993,-1.0840387737039079,1.1475652244644234,,-0.5073831890169999
1994,-0.38625861722013166,1.0294339123250715,1.5240404773740945,-0.8143497731235252
1995,-0.21172679278515588,0.7396441629462959,1.5792031033985277,-1.0944244538778474
1996,0.28323176722651244,0.34971553319696186,0.7274901452647756,-0.5883023210928946
1997,0.8756430087741073,0.7396042651816734,0.4554501085779322,-0.1704283920786369
1998,-0.5119770567815074,1.2215143526054482,0.44775299796987106,0.16916457424954023
1999,-1.044031969611229,1.0157709794759662,0.9531714406096069,-0.41431972452516586
2000,0.3726120246106221,0.8278200511019511,1.2078552474939612,-0.6220052225972379
2001,-0.9540165425003106,0.32878087235377396,0.6821124082159493,-0.15371136736003352
2002,0.15684057500857065,0.7275419928516671,0.3991807084791368,-0.024325546584087136
2003,-0.007221321063606096,0.7641853590461678,0.41404669661431265,-0.34404261135739256
2004,0.7088996128563648,0.9765641391766998,0.4479290756635202,-0.6112941551716802
2005,0.24755642718151125,0.5864023838105932,0.1880887077508895,-0.5431413027182723
2006,0.9457675009686504,0.4896162658900005,-0.1828315308976718,-0.3296995191108236
2007,0.6516168187090168,0.8374043405708061,-0.48259122735602766,-0.2816411388210896
2008,-0.790057053864149,-0.2121219265972589,-0.24254702300072947,-0.7745649064253347
2009,-3.6387759534398656,-0.1390581997729107,0.18283153089767223,-1.111367854723349
2010,1.8882753813667652,0.33730942572609823,0.20313077357971365,-1.3107369933604724
2011,-0.720764817597015,-0.7683702200656115,0.2534135320944615,-1.5870623253107061
2012,-0.7202818650463918,-1.2943662263548834,0.20408662391666232,-1.583397287086526
2013,0.451061208521397,-1.8385044333719225,-0.5864267586961377,-0.9732197241230842
2014,0.0,-2.0004892328609607,-0.7648940781869527,-0.6901856629754202
2015,-0.12556610240719493,-0.7956408400146932,-0.9608433972614335,-0.17023179891005577
2016,-1.1651343627145203,0.019901159414612072,-0.5975196533959902,-0.5887939865828822
2017,0.6744907594765952,-0.11069445422119932,-0.7477642339905829,-0.4728158345663172
2018,-0.06518405171126296,-0.6072954671047356,-0.7773704404797559,-0.5326945371540466
2019,-0.9926304433406896,-0.6605751755600402,-0.6914445259793156,-0.5804514245861205
2020,-1.5217615971748062,-0.41344704915187314,-0.6668691107372411,-0.6587958559777702
2021,1.6058891000579232,-0.6744907594765952,-0.9338028943082796,-0.5557686546111482
2022,1.2862302652163278,-2.9035363709634647,-1.2951143216748835,0.1874790987117223
2023,-0.1927101206923501,-1.6045795569979417,-1.4062948082357574,0.4989345713372734
2024,0.13483204906857643,-1.1366028140620008,-1.5283418038903636,0.8740614469693749
2025,,,-1.4971760521145894,0.8131751795665704
