year,wage_yoy,unemployment,birth_rate_dcbr,working_age_growth,dependency_ratio,youth_dependency,tfr
1970,-6.143737721485173,-1.6213720179725846,,1.462365876906571,-0.8037277830703536,5.592540676370351,4.292213923941965
1971,-5.964581434585078,-1.5608407959682749,4.0469445568595175,,,,4.476165949253765
1972,-5.7270333357302246,-1.3792471299553455,2.0234722784297707,,,,4.353531265712566
1973,-5.31895482684187,-1.5435461611099006,2.0234722784297468,,,,4.353531265712566
1974,-4.755607535973434,-1.3878944473845325,-4.0469445568595175,,,,3.8016751897771686
1975,-4.444406130371798,-0.8777027190624928,-8.768379873195656,1.2594030079582375,-0.7462565719309334,6.086312565736463,2.9432324049887764
1976,-4.076140063052766,-0.7566402750538728,-4.0469445568595415,,,,2.57532835436518
1977,-3.785508619931218,-0.7566402750538728,-4.0469445568595415,,,,2.2687416455121823
1978,-3.5645491661057522,-0.5231627044658205,-2.697963037906357,,,,2.2074243037415826
1979,-3.282543733112193,-0.6788144181911889,-3.372453797382955,,,,2.0847896202003837
1980,-2.971342460771952,-0.7479929576246857,-2.697963037906357,0.8688493643814995,-0.6744907594765952,5.675882981350051,1.9621549366591846
1981,-2.7205234592197267,-0.5491046567533822,-2.697963037906357,,,,1.900837594888585
1982,-2.504872339820931,-0.40210026045720076,0.0,,,,2.0847896202003837
1983,-2.3542481838874414,-0.08214951557727711,0.6744907594765742,,,,2.2687416455121823
1984,-2.157839810100671,-0.03026561100215504,0.0,,,,2.330058987282782
1985,-1.992617268078956,-0.11673878529402593,-2.697963037906357,1.0027391244455015,-0.6108493418806336,4.32760919339758,2.023472278429784
1986,-1.9110019261070532,0.0302656110021555,-2.0234722784297707,,,,1.7782029113473858
1987,-1.8181057404868481,0.11673878529402638,-0.6744907594765982,,,,1.5942508860355873
1988,-1.5619787376614427,-0.22915391187345854,-0.6744907594765862,,,,1.4102988607237885
1989,-1.2176008415694015,-0.5058680696074462,-2.697963037906369,,,,0.8584427847883939
1990,-0.8864931152370565,-0.6615197833328144,0.0,0.8939477177092149,-0.5225910803640114,2.1563529342457146,0.6744907594765952
1991,-0.6642059114979469,-0.6701671007620015,0.6744907594765862,,,,0.6131734177059956
1992,-0.5872353954647285,-0.6096358787576918,0.6744907594765862,,,,0.42922139239419693
1993,-0.5786093187060413,-0.24644854673183272,-1.1981362737085074e-14,,,,0.1839520253117987
1994,-0.4366112395312385,0.15997537243996138,4.046944556859529,,,,0.42922139239419693
1995,-0.20569875860181422,0.4280422127447625,-1.3489815189531844,0.35803640231795253,-0.37952320063749595,0.8582812862526755,-0.06131734177059956
1996,-0.02720518062133189,0.6528724659036277,2.0234722784297587,,,,0.0
1997,0.18512786329195732,0.687461735620376,0.0,,,,-0.24526936708239824
1998,0.09820332069431438,1.4138363996720946,2.0234722784297587,,,,-0.3065867088529978
1999,0.02720518062133189,2.0018539848568184,0.0,,,,-0.5518560759353947
2000,0.17915635353079162,2.0710325242903154,2.0234722784297587,-0.15795902391363495,-0.19837051754000062,0.23773429314023778,-0.42922139239419554
2001,0.17650132011838662,2.390983269170239,0.0,,,,-0.6131734177059942
2002,0.08426930929314454,2.719581331479349,0.6744907594765742,,,,-0.6744907594765938
2003,0.2753696151760359,2.5985188874707292,-0.6744907594765862,,,,-0.8584427847883925
2004,0.4213482788638643,2.0710325242903154,0.6744907594765862,,,,-0.8584427847883925
2005,0.4837222078376964,1.7510817794103917,-1.3489815189531844,-0.43777675085894757,0.0,0.0,-1.0423948101001912
2006,0.5812623531975146,1.431131034530468,3.372453797382931,,,,-0.6744907594765938
2007,0.5560479645629282,1.1371222419381064,0.6744907594765862,,,,-0.5518560759353947
2008,0.5606930570244034,1.292773955663474,2.0234722784297587,,,,-0.367904050623596
2009,-0.0530840105736721,2.4255725388869873,0.0,,,,-0.367904050623596
2010,0.25878150319222937,2.408277904028612,1.3489815189531724,-0.6744907594765952,0.22043602234908752,-0.0400811481901998,-0.24526936708239824
2011,0.4299751551909238,1.9153808105649468,0.0,,,,-0.24526936708239824
2012,0.3729102935814359,1.6473139702601465,0.6744907594765742,,,,-0.12263468354119912
2013,0.36229382462019055,1.3187159079510353,1.3489815189531724,,,,0.0
2014,0.5122544720656957,0.8777027190624924,0.0,,,,-0.06131734177059956
2015,0.5261890165124474,0.6615197833328148,1.3489815189531724,-1.1222081991921102,0.5284659953267057,-0.004342815210548828,0.12263468354119912
2016,0.582589703326973,0.3848056255988266,-5.990681368542537e-15,,,,0.06131734177059956
2017,0.6834485238485766,0.08214951557727757,-5.990681368542537e-15,,,,0.0
2018,0.8055392162015081,-0.31562708616532986,0.0,,,,-0.06131734177059956
2019,0.8208013106698114,-0.39345294302801415,-1.3489815189531844,,,,-0.42922139239419554
2020,0.4910201348985521,0.06485488071890386,-5.990681368542537e-15,-0.8308416334761195,0.7103518845762858,-0.13172161069385688,-0.6131734177059942
2021,0.6655329951046138,0.08214951557727757,-5.990681368542537e-15,0.49959218852436194,0.7163029434162047,-0.4006791125663445,-0.7971254430177929
2022,0.7902785876085554,-0.1513280550107743,-0.6744907594765922,-0.01908544074227991,0.7251596403590385,-0.5216217317099625,-1.0423948101001912
2023,0.9886773535978839,-0.17727000729833553,-0.6744907594765922,-0.008507449699280478,0.731375021729548,-0.6744907594765952,-1.4102988607237885
2024,1.204328139843191,-0.20321195958589727,-0.6744907594765922,0.0,0.7381319550088763,-0.8388337413253072,-1.7168855695767864
2025,1.5878559684770368,-0.22050659444427145,,,,,
