date,ppi_2015_100
1976-07-01,1.07181133175212
1976-08-01,0.742312052808327
1976-09-01,0.421052219197879
1976-10-01,0.209643401404916
1976-11-01,0.104602408655014
1976-12-01,0.104494098431679
1977-01-01,0.1043840311966
1977-02-01,0.104275184555412
1977-03-01,0.104166564677827
1977-04-01,0.416232683423974
1977-05-01,0.207253684140998
1977-06-01,-0.206825031643191
1977-07-01,-0.103626842070482
1977-08-01,0.103734338689809
1977-09-01,0.0
1977-10-01,0.207253684140998
1977-11-01,-0.31023754746477
1977-12-01,-0.311203016069483
1978-01-01,-0.10405817085598
1978-02-01,0.0
1978-03-01,0.0
1978-04-01,0.104166564677827
1978-05-01,0.0
1978-06-01,0.0
1978-07-01,-0.312174512567995
1978-08-01,-0.313153084636943
1978-09-01,-0.523559699331282
1978-10-01,-0.105263054799478
1978-11-01,-0.105374975110169
1978-12-01,0.105486131094555
1979-01-01,0.526869873320833
1979-02-01,0.419287798012395
1979-03-01,0.730688218376076
1979-04-01,0.829015720422264
1979-05-01,1.13052402474549
1979-06-01,1.11788605433194
1979-07-01,1.70854295906908
1979-08-01,1.38339973604531
1979-09-01,1.16959042140399
1979-10-01,0.770713069816208
1979-11-01,0.478011003688313
1979-12-01,1.14176953252017
1980-01-01,2.53998139201883
1980-02-01,1.83486233737446
1980-03-01,1.71171175332265
1980-04-01,1.86005301179129
1980-05-01,1.13043533252041
1980-06-01,0.601891069871101
1980-07-01,0.0854700022420874
1980-08-01,0.512382891256803
1980-09-01,0.0849616842784608
1980-10-01,-0.339558242711711
1980-11-01,-0.0851787922881707
1980-12-01,-0.255755034622289
1981-01-01,-0.256410006726318
1981-02-01,-0.428448596285027
1981-03-01,-0.344234558721752
1981-04-01,0.259067104751452
1981-05-01,0.430663620029334
1981-06-01,-0.0857632095104719
1981-07-01,-0.0858368259273105
1981-08-01,0.51546341299647
1981-09-01,0.170940815957043
1981-10-01,0.0
1981-11-01,0.0853241484465429
1981-12-01,0.0852514084082615
1982-01-01,-0.0851787922881707
1982-02-01,0.0
1982-03-01,-0.0852514084082799
1982-04-01,0.0
1982-05-01,-0.0853249585346219
1982-06-01,-0.34158805365129
1982-07-01,0.0856897192570165
1982-08-01,0.428082587076906
1982-09-01,0.0852514084082615
1982-10-01,0.17035758457636
1982-11-01,0.0850339305380541
1982-12-01,-0.0849616842784608
1983-01-01,-0.34013572215218
1983-02-01,0.0
1983-03-01,-0.170649106981146
1983-04-01,-0.683760017936791
1983-05-01,0.17211687083106
1983-06-01,0.0
1983-07-01,0.0
1983-08-01,-0.687285366317687
1983-09-01,0.173010211531576
1983-10-01,0.259067104751452
1983-11-01,0.0861333782165595
1983-12-01,0.0860584354155207
