date,retail_mom_pct
1955-02-01,-2.0746886334
1955-03-01,2.3538458572
1955-04-01,-0.0303358064
1955-05-01,0.5557291837
1955-06-01,0.7209881263
1955-07-01,-1.2193926817
1955-08-01,3.094792053
1955-09-01,0.7753008283
1955-10-01,0.943772674
1955-11-01,4.0080484889
1955-12-01,0.0508030306
1956-01-01,0.611193979
1956-02-01,1.4141044236
1956-03-01,0.1579737563
1956-04-01,4.2526869296
1956-05-01,2.2258689315
1956-06-01,0.0501777332
1956-07-01,2.404755639
1956-08-01,-0.5376344325
1956-09-01,0.8448460997
1956-10-01,-1.2000522516
1956-11-01,5.8640040477
1956-12-01,0.5440471382
1957-01-01,-2.3244798926
1957-02-01,4.1159903322
1957-03-01,0.9295881606
1957-04-01,-2.7758366004
1957-05-01,3.8609101925
1957-06-01,-0.5936151482
1957-07-01,1.8710247577
1957-08-01,-0.7164790589
1957-09-01,1.9969162378
1957-10-01,-0.5651955611
1957-11-01,2.2515614839
1957-12-01,0.7922584413
1958-01-01,-3.3817454074
1958-02-01,4.4562001643
1958-03-01,-0.4444879513
1958-04-01,1.0254144373
1958-05-01,-1.0417452873
1958-06-01,3.7227312921
1958-07-01,1.5288933728
1958-08-01,0.3146040662
1958-09-01,1.3342175813
1958-10-01,-0.2969655674
1958-11-01,1.8511415039
1958-12-01,3.2741415283
1959-01-01,-1.892904022
1959-02-01,2.250295278
1959-03-01,0.7060000376
1959-04-01,0.4870984476
1959-05-01,0.7337526291
1959-06-01,2.2572035466
1959-07-01,1.5974426847
1959-08-01,-0.357505003
1959-09-01,2.3613797375
1959-10-01,-2.0152119769
1959-11-01,1.4560723975
1959-12-01,2.325581246
1960-01-01,-2.3371365114
1960-02-01,0.5878455139
1960-03-01,0.9912749679
1960-04-01,1.1982486189
1960-05-01,-1.3405306327
1960-06-01,2.6473154985
1960-07-01,2.2907823854
1960-08-01,0.2653198032
1960-09-01,2.9928989267
1960-10-01,0.9299056177
1960-11-01,3.2319545085
1960-12-01,1.1693504365
1961-01-01,-0.6012479118
1961-02-01,0.471433857
1961-03-01,2.8664074334
1961-04-01,-0.4121668873
1961-05-01,1.5963959947
1961-06-01,1.2773727861
1961-07-01,1.2171596502
1961-08-01,-1.6251790749
1961-09-01,1.3685936254
1961-10-01,-0.2498408892
1961-11-01,0.7271498474
1961-12-01,-0.7408990007
1962-01-01,3.3702291451
1962-02-01,0.5238649492
1962-03-01,-0.1806684375
1962-04-01,1.7950811882
1962-05-01,1.3345851404
1962-06-01,1.2817718576
1962-07-01,-0.0673633846
1962-08-01,1.055806935
1962-09-01,2.0022225457
1962-10-01,1.1022903392
1962-11-01,0.6422467559
1962-12-01,0.4043123674
1963-01-01,0.0387933208
1963-02-01,-0.3131405812
1963-03-01,3.2539004327
1963-04-01,2.197756674
1963-05-01,-0.1333773559
1963-06-01,1.1439587503
1963-07-01,1.4253591704
1963-08-01,2.9699999351
1963-09-01,-0.284774052
1963-10-01,2.131962585
1963-11-01,1.2667121171
1963-12-01,-1.0182427356
1964-01-01,0.1257101992
1964-02-01,2.5737571617
1964-03-01,-0.2069447083
1964-04-01,-0.6174927741
1964-05-01,1.3805410328
1964-06-01,0.1026405189
1964-07-01,3.0073795507
1964-08-01,1.4126381363
1964-09-01,-0.4237374153
1964-10-01,-4.8636621041
1964-11-01,2.6994705095
1964-12-01,1.7094016214
1965-01-01,-3.787514943
1965-02-01,1.2750597876
1965-03-01,1.491517683
1965-04-01,-2.393622058
1965-05-01,2.2720539481
1965-06-01,2.6570006462
1965-07-01,2.3076938833
1965-08-01,-1.6709285117
1965-09-01,0.1790022622
1965-10-01,-0.2099849214
1965-11-01,0.303854242
1965-12-01,1.630768517
1966-01-01,-2.5687082499
1966-02-01,0.7625389631
1966-03-01,2.0784956598
1966-04-01,-0.0369301036
1966-05-01,2.7921248904
1966-06-01,0.8856373351
1966-07-01,0.7787273676
1966-08-01,2.4494072757
1966-09-01,-0.7076730167
1966-10-01,-0.0589330008
1966-11-01,3.431792472
1966-12-01,-0.0292615274
1967-01-01,-2.911114886
1967-02-01,1.6329811363
1967-03-01,2.1197397336
1967-04-01,0.2867705652
1967-05-01,1.4540194488
1967-06-01,3.1160570517
1967-07-01,2.6536312543
1967-08-01,-0.4562366103
1967-09-01,0.1597070347
1967-10-01,-1.5524197647
1967-11-01,0.9771568284
1967-12-01,2.4900616329
1968-01-01,-1.1449992936
1968-02-01,1.4760459237
1968-03-01,0.3131803869
1968-04-01,1.6800384293
1968-05-01,-0.6821283145
1968-06-01,3.0982233694
1968-07-01,0.0672043205
1968-08-01,0.5246627195
1968-09-01,-0.1481725612
1968-10-01,-0.9924612482
1968-11-01,0.7238498171
