variable_id,pit_rule,vintage_quality,vintage_status,n_rows,min_available_date,max_available_date
cre.new_loan,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,223,2008-02-20,2026-08-20
cre.tsf_flow,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,136,2015-02-20,2026-05-20
cre.tsf_stock,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,96,2015-01-20,2026-08-20
cre.tsf_stock,RETROSPECTIVE_RELEASE,RETROSPECTIVE_COMPARABLE,RETROSPECTIVE_COMPARABLE,36,2020-01-31,2020-01-31
ext.fdi,CONSERVATIVE_ANNUAL_60D,LATEST_HISTORY_PROXY,CURRENT,43,1984-02-29,2026-03-01
ext.forex_reserve,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,223,2008-02-20,2026-08-20
ext.gold_reserve_value,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,134,2015-07-20,2026-08-20
gold.au9999_q,T0_CLOSE,REALTIME_VINTAGE,CURRENT,32,2016-03-31,2023-12-31
gold.sge,T0_CLOSE,REALTIME_VINTAGE,CURRENT,2506,2016-04-19,2026-08-25
gov.fiscal_revenue,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,CURRENT,207,2008-02-20,2026-08-20
gov.tax_revenue_cum,CONSERVATIVE_QUARTER_20D,LATEST_HISTORY_PROXY,CURRENT,84,2005-04-20,2026-07-20
gro.enterprise_boom,CONSERVATIVE_QUARTER_20D,LATEST_HISTORY_PROXY,CURRENT,85,2005-04-20,2026-07-20
gro.export_yoy,CONSERVATIVE_MONTH_20D,REALTIME_VINTAGE,CURRENT,24,2012-10-20,2026-08-20
gro.export_yoy,OFFICIAL_RELEASE,REALTIME_VINTAGE,CURRENT,510,1982-02-01,2025-08-07
gro.export_yoy,OFFICIAL_RELEASE,REALTIME_VINTAGE,MULTI_VINTAGE,2,2020-04-14,2020-04-23
gro.fai_official_cum,OFFICIAL_RELEASE,REALTIME_VINTAGE,CURRENT,29,2021-09-15,2026-08-17
gro.fai_official_samom,CONSERVATIVE_MONTH_20D,LATEST_HISTORY_PROXY,REVISED_HISTORY,67,2021-02-20,2026-08-20
gro.gdp_abs,CONSERVATIVE_QUARTER_20D,LATEST_HISTORY_PROXY,CURRENT,82,2006-04-20,2026-07-20
gro.gdp_yoy,CONSERVATIVE_QUARTER_20D,LATEST_HISTORY_PROXY,CURRENT,82,2006-04-20,2026-07-20
gro.import_yoy,CONSERVATIVE_MONTH_20D,REALTIME_VINTAGE,CURRENT,17,2021-02-20,2026-08-20
gro.import_yoy,OFFICIAL_RELEASE,REALTIME_VINTAGE,CURRENT,349,1996-02-01,2025-08-07
gro.import_yoy,OFFICIAL_RELEASE,REALTIME_VINTAGE,MULTI_VINTAGE,2,2020-04-14,2020-04-23
