gate,link,country,track,model,status,theta_L3,ci90_lo_L3,ci90_hi_L3,theta_L2,ci_L2,valid_L2,theta_L4,ci_L4,valid_L4,valid_share_L3,n_grid
B1,P[PRICE]->B,JP,shockadj,A,OK,-0.288,-0.5887,0.043,-0.288,"(-0.534,+0.007)",1.0,-0.288,"(-0.628,+0.111)",1.0,1.0,80
B1,P[PRICE]->B,CN,shockadj,A,OK,0.3749,-0.0138,0.6439,0.3749,"(+0.048,+0.617)",1.0,0.3749,"(-0.083,+0.656)",1.0,1.0,56
B1,P[ACTIVITY]->B,JP,shockadj,A,OK,-0.6159,-0.7927,-0.4073,-0.6159,"(-0.772,-0.432)",1.0,-0.6159,"(-0.807,-0.398)",1.0,1.0,80
B1,P[ACTIVITY]->B,CN,shockadj,A,OK,0.3359,0.1328,0.4251,0.3359,"(+0.153,+0.448)",1.0,0.3359,"(+0.111,+0.405)",1.0,1.0,56
B1,P[INV_SALES]->B,CN,shockadj,A,OK,0.5017,0.31,0.6071,0.5017,"(+0.331,+0.621)",1.0,0.5017,"(+0.281,+0.590)",1.0,1.0,56
B2,B->R,JP,shockadj,A,OK,0.0658,-0.2334,0.3286,0.0658,"(-0.196,+0.282)",1.0,0.0658,"(-0.299,+0.354)",1.0,1.0,80
B3a,R->C[nfc],JP,shockadj,A,OK,-0.3724,-0.579,-0.0938,-0.3724,"(-0.564,-0.138)",1.0,-0.3724,"(-0.607,-0.059)",1.0,1.0,80
B3a,R->C[hh],JP,shockadj,A,OK,-0.4308,-0.5886,-0.1897,-0.4308,"(-0.576,-0.238)",1.0,-0.4308,"(-0.600,-0.181)",1.0,1.0,80
B2,B->R,CN,shockadj,A,OK,0.2725,0.1295,0.4126,0.2725,"(+0.145,+0.395)",1.0,0.2725,"(+0.109,+0.426)",1.0,1.0,56
B3a,R->C[nfc],CN,shockadj,A,OK,-0.1519,-0.2784,0.0534,-0.1519,"(-0.301,+0.034)",1.0,-0.1519,"(-0.272,+0.040)",1.0,1.0,56
B3a,R->C[hh],CN,shockadj,A,OK,0.0004,-0.1928,0.2866,0.0004,"(-0.211,+0.245)",1.0,0.0004,"(-0.180,+0.271)",1.0,1.0,56
B3a,R->C[pboc],CN,shockadj,A,OK,-0.0466,-0.2454,0.2427,-0.0466,"(-0.267,+0.206)",1.0,-0.0466,"(-0.249,+0.228)",1.0,1.0,56
B4,C[nfc]->I,JP,shockadj,A,OK,0.6228,0.3896,0.7539,0.6228,"(+0.430,+0.744)",1.0,0.6228,"(+0.342,+0.764)",1.0,1.0,80
B4,C[hh]->I,JP,shockadj,A,OK,-0.1127,-0.3034,0.1122,-0.1127,"(-0.269,+0.065)",1.0,-0.1127,"(-0.327,+0.123)",1.0,1.0,80
B4,C[nfc]->I,CN,shockadj,A,OK,-0.5682,-0.7512,-0.2405,-0.5682,"(-0.736,-0.304)",1.0,-0.5682,"(-0.764,-0.165)",1.0,1.0,60
B1,P[PRICE]->B,JP,shockadj,B,OK,-0.6229,-0.7423,-0.3468,-0.6229,"(-0.738,-0.402)",1.0,-0.6229,"(-0.747,-0.306)",1.0,1.0,60
B1,P[PRICE]->B,CN,shockadj,B,OK,0.221,-0.1303,0.5084,0.221,"(-0.074,+0.475)",1.0,0.221,"(-0.189,+0.535)",1.0,1.0,56
B1,P[ACTIVITY]->B,JP,shockadj,B,OK,-0.5453,-0.6476,-0.3352,-0.5453,"(-0.647,-0.367)",1.0,-0.5453,"(-0.638,-0.318)",1.0,1.0,60
B1,P[ACTIVITY]->B,CN,shockadj,B,OK,0.2106,0.0326,0.32,0.2106,"(+0.032,+0.337)",1.0,0.2106,"(+0.035,+0.318)",1.0,1.0,56
B1,P[INV_SALES]->B,CN,shockadj,B,OK,0.3611,0.1893,0.4742,0.3611,"(+0.199,+0.485)",1.0,0.3611,"(+0.186,+0.462)",1.0,1.0,56
B2,B->R,JP,shockadj,B,OK,0.4288,0.1231,0.6528,0.4288,"(+0.174,+0.629)",1.0,0.4288,"(+0.119,+0.668)",1.0,1.0,60
B3a,R->C[nfc],JP,shockadj,B,OK,-0.5829,-0.7139,-0.3949,-0.5829,"(-0.706,-0.417)",1.0,-0.5829,"(-0.721,-0.380)",1.0,1.0,60
B3a,R->C[hh],JP,shockadj,B,OK,-0.6662,-0.7427,-0.4988,-0.6662,"(-0.744,-0.533)",1.0,-0.6662,"(-0.741,-0.466)",1.0,1.0,60
B2,B->R,CN,shockadj,B,OK,0.2655,0.1417,0.3973,0.2655,"(+0.153,+0.379)",1.0,0.2655,"(+0.124,+0.407)",1.0,1.0,56
B3a,R->C[nfc],CN,shockadj,B,OK,-0.1828,-0.3139,0.0155,-0.1828,"(-0.336,+0.006)",1.0,-0.1828,"(-0.300,+0.011)",1.0,1.0,56
B3a,R->C[hh],CN,shockadj,B,OK,-0.0166,-0.2175,0.2591,-0.0166,"(-0.237,+0.230)",1.0,-0.0166,"(-0.212,+0.238)",1.0,1.0,56
B3a,R->C[pboc],CN,shockadj,B,OK,-0.0405,-0.2446,0.2358,-0.0405,"(-0.266,+0.204)",1.0,-0.0405,"(-0.244,+0.216)",1.0,1.0,56
B4,C[nfc]->I,JP,shockadj,B,OK,0.6408,0.3891,0.7409,0.6408,"(+0.436,+0.738)",1.0,0.6408,"(+0.347,+0.744)",1.0,1.0,60
B4,C[hh]->I,JP,shockadj,B,OK,0.5721,0.2933,0.7145,0.5721,"(+0.345,+0.700)",1.0,0.5721,"(+0.258,+0.719)",1.0,1.0,60
B4,C[nfc]->I,CN,shockadj,B,OK,-0.4784,-0.6475,-0.1587,-0.4784,"(-0.637,-0.214)",1.0,-0.4784,"(-0.662,-0.090)",1.0,1.0,60
