country,variable,flavor,n,criterion,m_max,m_selected,selected_at_boundary,criterion_sensitive,break_after_year,new_segment_start_year,ci90_iid,ci90_mbb,rss,bic2
jp,investment_gdp,raw,54,BIC2,6,6,True,False,1974|1981|1987|1992|1997|2007,1975|1982|1988|1993|1998|2008,1974-1974;1981-1981;1987-1987;1992-1992;1997-1997;2006-2008,1974-1974;1981-1981;1987-1987;1992-1992;1997-1997;2006-2008,1.4622,-143.031
jp,investment_gdp,ResidA,54,BIC2,6,2,False,True,1975|1997,1976|1998,1974-1976;1996-1998,1975-1976;1996-1998,7.8672,-84.074
jp,cpi_yoy,raw,55,BIC2,6,2,False,False,1976|1981,1977|1982,1975-1978;1981-1998,1976-1979;1981-1994,86.5504,44.973
jp,cpi_yoy,ResidA,55,BIC2,6,2,False,True,1976|1981,1977|1982,1975-1979;1981-2003,1976-1979;1981-1999,66.0114,30.074
jp,m2_yoy,raw,56,BIC2,6,3,False,False,1974|1979|1990,1975|1980|1991,1974-1974;1979-1990;1990-2007,1974-1974;1979-1990;1990-2005,23.8156,-19.703
jp,m2_yoy,ResidA,56,BIC2,6,2,False,True,1975|1990,1976|1991,1975-1976;1990-1991,1975-1976;1989-1991,21.7565,-32.818
cn,investment_gdp,raw,25,BIC2,4,2,False,False,2007|2014,2008|2015,2007-2008;2013-2015,2007-2007;2013-2016,24.9237,16.018
cn,investment_gdp,ResidA,25,BIC2,4,2,False,True,2007|2014,2008|2015,2007-2008;2013-2014,2007-2007;2013-2014,14.8553,3.081
cn,cpi_yoy,raw,26,BIC2,4,0,False,True,-,-,,,33.7207,10.018
cn,cpi_yoy,ResidA,26,BIC2,4,0,False,True,-,-,,,28.2423,5.409
cn,m2_yoy,raw,26,BIC2,4,3,False,False,2005|2010|2016,2006|2011|2017,2004-2005;2010-2011;2015-2019,2004-2005;2010-2011;2015-2018,5.3028,-18.53
cn,m2_yoy,ResidA,26,BIC2,4,1,False,True,2010,2011,2008-2014,2007-2014,7.4357,-22.772
