country,variable,flavor,n,m_max,m_bic,break_years,ci90_break_years,rss,bic,bic0
jp,investment_gdp,raw,54,4,4,1974|1981|1997|2007,1974-1974;1980-1983;1996-1998;2004-2009,2.563,-144.6361,-17.4983
jp,investment_gdp,ResidA,54,4,4,1975|1982|1987|1997,1975-1976;1981-1983;1987-1997;1996-2008,5.8746,-99.8461,-9.0114
jp,cpi_yoy,raw,55,4,2,1976|1981,1975-1979;1981-1999,86.5504,36.9587,91.1891
jp,cpi_yoy,ResidA,55,4,4,1976|1981|1993|2019,1975-1976;1981-1987;1989-2009;2003-2020,56.3515,21.3719,73.6542
jp,m2_yoy,raw,56,4,3,1974|1979|1990,1974-1974;1979-1985;1990-1992,23.8156,-31.7791,84.0143
jp,m2_yoy,ResidA,56,4,2,1975|1990,1975-1976;1990-1992,21.7565,-40.8687,49.907
cn,investment_gdp,raw,25,2,2,2007|2014,2007-2008;2013-2015,24.9237,9.5802,32.2804
cn,investment_gdp,ResidA,25,2,2,2007|2014,2007-2008;2013-2014,14.8553,-3.3563,18.4143
cn,cpi_yoy,raw,26,2,2,2006|2013,2004-2008;2011-2019,24.1128,7.8151,10.0185
cn,cpi_yoy,ResidA,26,2,2,2006|2011,2004-2008;2010-2019,20.4184,3.4911,5.4089
cn,m2_yoy,raw,26,2,2,2010|2016,2005-2012;2014-2020,6.9137,-24.6652,-1.9712
cn,m2_yoy,ResidA,26,2,2,2004|2010,2004-2011;2009-2020,6.4759,-26.3661,-14.3813
