month,value,source_note
1994-01,52.99,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-02,53.26,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-03,53.42,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-04,54.36,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-05,54.71,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-06,54.93,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-07,54.33,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-08,56.33,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-09,58.2,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-10,58.33,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-11,58.95,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1994-12,60.51,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-01,62.17,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-02,62.19,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-03,60.38,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-04,59.59,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-05,60.82,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-06,60.18,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-07,60.1,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-08,62.59,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-09,64.98,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-10,64.35,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-11,64.73,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1995-12,65.09,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1996-01,67.03,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1996-02,67.61,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1996-03,67.87,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1996-04,69.08,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
1996-05,68.94,raw RBCNBIS_CN_real_broad_effective_fx_monthly.csv
