variable_id,country,display_name,unit,frequency,level,group_cn,m3_featured_order,source_file,source_ref,notes
h6r_cn_reer,cn,人民币实际有效汇率指数（BIS 广义·月）,指数(2010=100),monthly,h6raw,补充数据·中国(原始月度),,h6r_cn_reer.csv,08_jp_hist/01_raw/fred_bis_reer/RBCNBIS_CN_real_broad_effective_fx_monthly.csv,1994-01+；BIS 广义实际有效汇率（RBCNBIS）；M1/M3 从未展示 REER。
h6r_cn_usdcny,cn,人民币兑美元（CNY/USD·月末）,元/美元,monthly,h6raw,补充数据·中国(原始月度),,h6r_cn_usdcny.csv,08_jp_hist/01_raw/fred_api_ext/DEXCHUS_CN_USD.csv,1981-01+；FRED DEXCHUS 日度周期末值；1994 汇率并轨前为官方牌价口径。
