decision_month,feature,value,na_reason,reference_period_used,available_date_used,feature_regime,note
2009-04,pmi_gap,2.4000,,,2009-04-20,,gro.pmi - 50
2009-04,m1_m2_gap,-8.4700,,,2009-04-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2009-03)
2009-05,ey,4.9188,,,2009-05-27,,100/PE_ttm
2009-05,eyg,1.8798,,,2009-05-27,,100/PE_ttm - cn10y
2009-05,term_spread,1.8164,,,2009-05-27,,cn10y - cn2y
2009-05,pmi_gap,3.5000,,,2009-05-20,,gro.pmi - 50
2009-05,m1_m2_gap,-8.4700,,,2009-05-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2009-04)
2009-06,ey,4.2699,,,2009-06-30,,100/PE_ttm
2009-06,eyg,1.0296,,,2009-06-30,,100/PE_ttm - cn10y
2009-06,term_spread,2.0196,,,2009-06-30,,cn10y - cn2y
2009-06,pmi_gap,3.1000,,,2009-06-20,,gro.pmi - 50
2009-06,m1_m2_gap,-7.0500,,,2009-06-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2009-05)
2009-07,ey,3.7092,,,2009-07-31,,100/PE_ttm
2009-07,eyg,0.2062,,,2009-07-31,,100/PE_ttm - cn10y
2009-07,term_spread,1.6862,,,2009-07-31,,cn10y - cn2y
2009-07,pmi_gap,3.2000,,,2009-07-20,,gro.pmi - 50
2009-07,m1_m2_gap,-3.6700,,,2009-07-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2009-06)
2009-08,ey,5.0302,,,2009-08-31,,100/PE_ttm
2009-08,eyg,1.5497,,,2009-08-31,,100/PE_ttm - cn10y
2009-08,term_spread,1.7081,,,2009-08-31,,cn10y - cn2y
2009-08,pmi_gap,3.3000,,,2009-08-20,,gro.pmi - 50
2009-08,m1_m2_gap,-2.0500,,,2009-08-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2009-07)
2009-09,ey,4.7710,,,2009-09-30,,100/PE_ttm
2009-09,eyg,1.2578,,,2009-09-30,,100/PE_ttm - cn10y
2009-09,term_spread,1.6850,,,2009-09-30,,cn10y - cn2y
2009-09,pmi_gap,4.0000,,,2009-09-20,,gro.pmi - 50
2009-09,m1_m2_gap,-0.8100,,,2009-09-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2009-08)
2009-10,ey,4.5434,,,2009-10-30,,100/PE_ttm
2009-10,eyg,0.8548,,,2009-10-30,,100/PE_ttm - cn10y
2009-10,term_spread,1.7821,,,2009-10-30,,cn10y - cn2y
2009-10,pmi_gap,4.3000,,,2009-10-20,,gro.pmi - 50
2009-10,m1_m2_gap,0.2000,,,2009-10-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2009-09)
2009-11,ey,4.3085,,,2009-11-30,,100/PE_ttm
2009-11,eyg,0.7516,,,2009-11-30,,100/PE_ttm - cn10y
2009-11,term_spread,1.6771,,,2009-11-30,,cn10y - cn2y
2009-11,pmi_gap,5.2000,,,2009-11-20,,gro.pmi - 50
2009-11,m1_m2_gap,2.6100,,,2009-11-20,M1_PRE_2025,m1_yoy - m2_yoy (ref=2009-10)
2009-12,ey,4.1684,,,2009-12-31,,100/PE_ttm
2009-12,eyg,0.5262,,,2009-12-31,,100/PE_ttm - cn10y
2009-12,term_spread,1.6737,,,2009-12-31,,cn10y - cn2y
2009-12,pmi_gap,5.2000,,,2009-12-20,,gro.pmi - 50
