decision_month,value,na_reason,feature_regime,note
2018-09,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2018-10,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2018-11,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2018-12,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-01,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-02,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-03,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-04,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-05,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-06,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-07,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-08,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-09,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-10,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-11,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2019-12,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2020-01,,STALE_SOURCE,AFRE_DERIVED_LEGACY,r_t 陈旧或 r_t-12 未公开
2020-02,10.72,,AFRE_DERIVED,r_t=2020-01
2020-03,10.66,,AFRE_DERIVED,r_t=2020-02
2020-04,11.48,,AFRE_DERIVED,r_t=2020-03
2020-05,12.00,,AFRE_DERIVED,r_t=2020-04
2020-06,12.53,,AFRE_DERIVED,r_t=2020-05
2020-07,12.76,,AFRE_DERIVED,r_t=2020-06
2020-08,12.86,,AFRE_DERIVED,r_t=2020-07
2020-09,13.28,,AFRE_DERIVED,r_t=2020-08
2020-10,13.54,,AFRE_DERIVED,r_t=2020-09
2020-11,13.68,,AFRE_DERIVED,r_t=2020-10
2020-12,13.63,,AFRE_DERIVED,r_t=2020-11
2021-01,13.34,,AFRE_DERIVED,r_t=2020-12
2021-02,13.02,,AFRE_DERIVED,r_t=2021-01
2021-03,13.29,,AFRE_DERIVED,r_t=2021-02
2021-04,12.32,,AFRE_DERIVED,r_t=2021-03
2021-05,11.67,,AFRE_DERIVED,r_t=2021-04
2021-06,11.03,,AFRE_DERIVED,r_t=2021-05
2021-07,10.95,,AFRE_DERIVED,r_t=2021-06
2021-08,10.67,,AFRE_DERIVED,r_t=2021-07
2021-09,10.31,,AFRE_DERIVED,r_t=2021-08
2021-10,9.99,,AFRE_DERIVED,r_t=2021-09
2021-11,10.01,,AFRE_DERIVED,r_t=2021-10
2021-12,10.11,,AFRE_DERIVED,r_t=2021-11
2022-01,10.29,,AFRE_DERIVED,r_t=2021-12
2022-02,10.46,,AFRE_DERIVED,r_t=2022-01
2022-03,10.21,,AFRE_DERIVED,r_t=2022-02
2022-04,10.56,,AFRE_DERIVED,r_t=2022-03
2022-05,10.23,,AFRE_DERIVED,r_t=2022-04
2022-06,10.47,,AFRE_DERIVED,r_t=2022-05
2022-07,10.85,,AFRE_DERIVED,r_t=2022-06
2022-08,10.71,,AFRE_DERIVED,r_t=2022-07
2022-09,10.46,,AFRE_DERIVED,r_t=2022-08
2022-10,10.58,,AFRE_DERIVED,r_t=2022-09
2022-11,10.33,,AFRE_DERIVED,r_t=2022-10
2022-12,10.03,,AFRE_DERIVED,r_t=2022-11
2023-01,9.58,,AFRE_DERIVED,r_t=2022-12
2023-02,9.65,,AFRE_DERIVED,r_t=2023-01
2023-03,10.23,,AFRE_DERIVED,r_t=2023-02
2023-04,10.25,,AFRE_DERIVED,r_t=2023-03
2023-05,10.26,,AFRE_DERIVED,r_t=2023-04
2023-06,9.79,,AFRE_DERIVED,r_t=2023-05
2023-07,9.33,,AFRE_DERIVED,r_t=2023-06
