category,count,pct_of_na,reasons
HAS_VALUE,15391,-,非 NA
NOT_APPLICABLE,2781,83.24%,NOT_APPLICABLE; INSUFFICIENT_HISTORY
NOT_RELEASED,123,3.68%,NOT_RELEASED
SOURCE_GAP,271,8.11%,SOURCE_GAP; COVERAGE_LOW; STALE_SOURCE
DEFINITION_BREAK,166,4.97%,LEGACY_REGIME; RETROSPECTIVE_NOT_AVAILABLE; HISTORY_SNAPSHOT_ONLY; HANDOFF_TO_QUARTERLY
RANDOM,0,0.00%,
HOLIDAY,0,0.00%,
