year,value
2001,-0.9177402336955296
2002,-0.7980905752821822
2003,0.27382874078046476
2004,-0.7164149354002612
2005,-0.44347808229799734
2006,4.909947967982687
2007,3.606914414646209
2008,-2.6419717754358794
2009,2.9635096829708165
2010,-0.6744907594765952
2011,-0.9585322680434423
2012,0.0
2013,-0.38267379793922346
2014,1.9174537047587183
2015,0.2409038430597288
2016,-0.5970658415967769
2017,0.1307238848748733
2018,-1.0710265351552462
2019,0.7381958914031366
2020,0.4127066935778159
2021,0.06291005948634878
2022,-0.705819399248057
2023,-0.26506412943532504
2024,0.3664168388168152
2025,0.5880163885490312
