cn_window,cn_range,lag_years,jp_range,eligible_weight_coverage,coverage_pct,modules_ge50pct,module_detail,availability_rule
WA,2000-2010,20,1980-1990,0.8222,82.2%,6,GROWTH=1.00;INFLATION=1.00;MONEY_CREDIT=0.60;EXTERNAL=1.00;PROPERTY_ASSET=0.50;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WA,2000-2010,25,1975-1985,0.7889,78.9%,6,GROWTH=0.80;INFLATION=1.00;MONEY_CREDIT=0.60;EXTERNAL=1.00;PROPERTY_ASSET=0.50;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WA,2000-2010,30,1970-1980,0.7889,78.9%,6,GROWTH=0.80;INFLATION=1.00;MONEY_CREDIT=0.60;EXTERNAL=1.00;PROPERTY_ASSET=0.50;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WA,2000-2010,35,1965-1975,0.7056,70.6%,6,GROWTH=0.80;INFLATION=0.50;MONEY_CREDIT=0.60;EXTERNAL=1.00;PROPERTY_ASSET=0.50;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WA,2000-2010,40,1960-1970,0.65,65.0%,6,GROWTH=0.80;INFLATION=0.50;MONEY_CREDIT=0.60;EXTERNAL=0.67;PROPERTY_ASSET=0.50;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WA,2000-2010,45,1955-1965,0.65,65.0%,6,GROWTH=0.80;INFLATION=0.50;MONEY_CREDIT=0.60;EXTERNAL=0.67;PROPERTY_ASSET=0.50;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WB,2005-2015,20,1985-1995,0.9722,97.2%,6,GROWTH=1.00;INFLATION=1.00;MONEY_CREDIT=1.00;EXTERNAL=1.00;PROPERTY_ASSET=1.00;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WB,2005-2015,25,1980-1990,0.9722,97.2%,6,GROWTH=1.00;INFLATION=1.00;MONEY_CREDIT=1.00;EXTERNAL=1.00;PROPERTY_ASSET=1.00;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WB,2005-2015,30,1975-1985,0.9389,93.9%,6,GROWTH=0.80;INFLATION=1.00;MONEY_CREDIT=1.00;EXTERNAL=1.00;PROPERTY_ASSET=1.00;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WB,2005-2015,35,1970-1980,0.9056,90.6%,6,GROWTH=0.80;INFLATION=1.00;MONEY_CREDIT=0.80;EXTERNAL=1.00;PROPERTY_ASSET=1.00;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WB,2005-2015,40,1965-1975,0.7389,73.9%,6,GROWTH=0.80;INFLATION=0.50;MONEY_CREDIT=0.80;EXTERNAL=1.00;PROPERTY_ASSET=0.50;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WB,2005-2015,45,1960-1970,0.65,65.0%,6,GROWTH=0.80;INFLATION=0.50;MONEY_CREDIT=0.60;EXTERNAL=0.67;PROPERTY_ASSET=0.50;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WC,2010-2020,20,1990-2000,0.9722,97.2%,6,GROWTH=1.00;INFLATION=1.00;MONEY_CREDIT=1.00;EXTERNAL=1.00;PROPERTY_ASSET=1.00;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WC,2010-2020,25,1985-1995,0.9722,97.2%,6,GROWTH=1.00;INFLATION=1.00;MONEY_CREDIT=1.00;EXTERNAL=1.00;PROPERTY_ASSET=1.00;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WC,2010-2020,30,1980-1990,0.9722,97.2%,6,GROWTH=1.00;INFLATION=1.00;MONEY_CREDIT=1.00;EXTERNAL=1.00;PROPERTY_ASSET=1.00;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WC,2010-2020,35,1975-1985,0.9389,93.9%,6,GROWTH=0.80;INFLATION=1.00;MONEY_CREDIT=1.00;EXTERNAL=1.00;PROPERTY_ASSET=1.00;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WC,2010-2020,40,1970-1980,0.9056,90.6%,6,GROWTH=0.80;INFLATION=1.00;MONEY_CREDIT=0.80;EXTERNAL=1.00;PROPERTY_ASSET=1.00;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
WC,2010-2020,45,1965-1975,0.7389,73.9%,6,GROWTH=0.80;INFLATION=0.50;MONEY_CREDIT=0.80;EXTERNAL=1.00;PROPERTY_ASSET=0.50;DEMOGRAPHY_LABOR=0.83,FULL_WINDOW_COVERAGE: variable k available iff cn_start<=win0 AND jp_start<=win0-LAG (conservative FULL=1/PARTIAL=0); T-ratio PARTIAL option deferred to H1 decision
