country,window,classes_collected,series_collection_status,D-A_cpi_neg_q,D-A_longest_neg_run,D-A_start,D-B_main_window,D-B_all_4class_runs,D-B_broad_q,D-B_share,D-B_verdict,D-C_longest,D-C_start,D-C_verdict,D-D_joint,D1_checked,D1_same,D2,D3_mean,D4_div,D4_v
JP,1985-Q1..2005-Q4,cpi_core;cpi_headline;gdp_deflator;ppi,"{""cpi_headline"": ""COLLECTED"", ""cpi_core"": ""COLLECTED"", ""cpi_services"": ""NO_DATA_IN_WINDOW"", ""ppi"": ""COLLECTED"", ""gdp_deflator"": ""COLLECTED"", ""wage_income"": ""NO_DATA_IN_WINDOW""}",31,20,1999-Q4,1995-Q1..2005-Q4 n=44,1995-Q1-2005-Q4(44),40,0.9091,BROAD,31,1998-Q2,PERSISTENT,JP_BROAD_PERSISTENT_REGIME_ARCHIVED; MECHANISM_EVIDENCE_ABSENT,22,22,INFEASIBLE_NO_OLDBASE_ARCHIVE,0.761,18,PRICE_SYSTEM_DIVERGENCE
CN,2010-Q1..2026-Q2,cpi_core;cpi_headline;cpi_services;ppi,"{""cpi_headline"": ""COLLECTED"", ""cpi_core"": ""COLLECTED_2013PLUS"", ""cpi_services"": ""COLLECTED_2016Q1+ (structural pre-start before 2016-Q1)"", ""ppi"": ""COLLECTED"", ""gdp_deflator"": ""INFEASIBLE_AFTER_PRESPECIFIED_MASK"", ""wage_income"": ""SOURCE_NOT_FOUND""}",6,3,2025-Q1,2016-Q1..2026-Q2 n=42,2016-Q1-2026-Q2(42),17,0.4048,BROAD,14,2022-Q4,PERSISTENT,"CN_DEFLATION_GATE_BROAD_PERSISTENT_IN_2016-Q1..2026-Q2_WINDOW(n=42,17/42broad); PRE_MAIN_4CLASS_RUNS=NONE",0,0,NA_NO_REBASE_EVENT,0.179,NA,INFEASIBLE_NO_DEFLATOR
