country,window,classes_collected,D-A_cpi_neg_q,D-A_longest_neg_run,D-A_start,D-B_main_window,D-B_all_4class_runs,D-B_broad_q,D-B_share,D-B_verdict,D-C_longest,D-C_start,D-C_verdict,D-D_joint,D1_checked,D1_same,D2,D3_mean,D4_div,D4_v
JP,1985-Q1..2005-Q4,cpi_core;cpi_headline;gdp_deflator;ppi,31,20,1999-Q4,1995-Q1..2005-Q4 n=44,1995-Q1-2005-Q4(44),40,0.9091,BROAD,31,1998-Q2,PERSISTENT,JP_BROAD_PERSISTENT_REGIME_ARCHIVED; MECHANISM_EVIDENCE_ABSENT,22,22,INFEASIBLE_NO_OLDBASE_ARCHIVE,0.761,18,PRICE_SYSTEM_DIVERGENCE
CN,2010-Q1..2026-Q2,cpi_core;cpi_headline;cpi_services;ppi,6,3,2025-Q1,2023-Q1..2026-Q2 n=14,2021-Q1-2021-Q1(1);2021-Q3-2021-Q4(2);2022-Q3-2022-Q3(1);2023-Q1-2026-Q2(14),13,0.9286,BROAD,13,2023-Q1,PERSISTENT,"CN_DEFLATION_GATE_BROAD_PERSISTENT_IN_2023-Q1..2026-Q2_WINDOW(n=14,13/14broad); EARLIER WINDOW NOT_ADJUDICATED (services pre-2023 missing)",0,0,NA_NO_REBASE_EVENT,0.321,NA,INFEASIBLE_NO_DEFLATOR
